id,id_nota,valoracion_llm,relevante_economia,AAPLD,DESPD,KOD,MELID,MSFTD,NVDAD,TEND,VISTD,XOMD
106,45783,neutral,,,,,,,,,,
107,45782,neutral,,,,,,,,,,
108,45781,neutral,,,,,,,,,,
109,45780,neutral,,,,,,,,,,
110,45779,neutral,,,,,,,,,,
111,45778,neutral,,,,,,,,,,
112,45777,neutral,,,,,,,,,,
113,45776,neutral,,,,,,,,,,
114,45775,neutral,1,,,,,,,,,
115,45774,neutral,,,,,,,,,,
116,45773,neutral,,,,,,,,,,
117,45772,negative,,,,,,,,,,
118,45771,neutral,,,,,,,,,,
119,45770,neutral,,,,,,,,,,
120,45769,neutral,,,,,,,,,,
121,45768,neutral,1,,,,,,,,,
122,45767,neutral,,,,,,,,,,
123,45766,neutral,,,,,,,,,,
124,45765,neutral,,,,,,,,,,
125,45764,negative,,,,,,,,,,
126,45763,neutral,,,,,,,,,,
127,45762,neutral,,,,,,,,,,
128,45761,neutral,,,,,,,,,,
129,45760,negative,,,,,,,,,,
130,45759,neutral,,,,,,,,,,
131,45758,neutral,,,,,,,,,,
132,45757,neutral,,,,,,,,,,
133,45756,neutral,,,,,,,,,,
134,45755,neutral,,,,,,,,,,
135,45754,neutral,,,,,,,,,,
136,45753,neutral,,,,,,,,,,
137,45752,neutral,,,,,,,,,,
138,45751,negative,1,,,,,,,1,,
139,45750,neutral,,,,,,,,,,
140,45749,neutral,,,,,,,,,,
141,45748,neutral,,,,,,,,,,
142,45747,neutral,,,,,,,,,,
143,45746,neutral,,,,,,,,,,
144,45745,neutral,,,,,,,,,,
145,45744,neutral,,,,,,,,,,
146,45743,neutral,,,,,,,,,,
147,45742,negative,,,,,,,1,,,
148,45741,neutral,,,,,,,,,,
149,45740,neutral,,,,,,,,,,
150,45739,neutral,,,,,,,,,,
151,45738,neutral,,,,,,,,,,
152,45737,neutral,,,,,,,,,,
153,45736,neutral,,,,,,,,,,
154,45735,neutral,,,,,,,,,,
155,45734,neutral,,,,,,,,,,
156,45733,neutral,,,,,,,,,,
157,45732,neutral,,,,,,,,,,
158,45731,negative,,,,,,,,,,
159,45730,neutral,,,,,,,,,,
160,45729,neutral,,,,,,,,,,
161,45728,neutral,,,,,,,,,,
162,45727,neutral,,,,,,,,,,
163,45726,neutral,,,,,,,,,,
164,45725,neutral,,,,,,,,,,
165,45724,negative,,,,,,,,,,
166,45723,neutral,,,,,,,,,,
167,45722,neutral,,,,,,,,,,
168,45721,negative,1,,,,,,,1,,
169,45720,neutral,,,,,,,,,,
170,45719,neutral,,,,,,,,,,
171,45718,neutral,,,,,,,,,,
172,45717,neutral,,,,,,,,,,
173,45716,neutral,,,,,,,,,,
174,45715,neutral,,,,,,,,,,
175,45714,neutral,,,,,,,,,,
176,45713,negative,,,,,,,,,,
177,45712,neutral,1,,,,,,,,,
178,45711,neutral,,,,,,,,,,
179,45710,neutral,,,,,,,,,,
180,45709,neutral,,,,,,,,,,
181,45708,negative,,,,,,,,,,
182,45707,neutral,,,,,,,,,,
183,45706,neutral,,,,,,,,,,
184,45705,neutral,1,,,,,,,,,
185,45704,negative,1,,,,,,,1,1,
186,45703,neutral,,,,,,,,,,
187,45702,neutral,,,,,,,,,,
188,45701,neutral,,,,,,,,,,
189,45700,negative,,,,,,,,,,
190,45699,neutral,1,,,,,,,,,
191,45698,neutral,,,,,,,,,,
192,45697,positive,1,,,,,,,1,,
193,45696,neutral,,,,,,,,,,
194,45695,neutral,1,,,,,,,,,
195,45694,neutral,,,,,,,,,,
196,45693,neutral,,,,,,,,,,
197,45692,negative,,,,,,,,,,
198,45691,neutral,,,,,,,,,,
199,45690,neutral,,,,,,,,,,
200,45689,positive,1,,,,,,,,,
201,45688,neutral,,,,,,,,,,
202,45687,positive,1,,,,,,,1,,
203,45686,neutral,1,,1,,,,,,,
204,45685,positive,1,1,,,,,,1,,
205,45684,positive,1,,1,,1,1,,1,1,
206,45683,neutral,,,,,,,,,,
207,45682,neutral,,,,,,,,,,
208,45681,positive,1,,,,,,,,,
209,45680,neutral,1,,,,,,,,,
210,45679,neutral,1,,,,,,,,,
211,45678,positive,1,,,,,,,1,1,
212,45677,neutral,,,,,,,,,,
213,45676,neutral,1,,,,,,,,,
214,45675,neutral,1,,,,,,,1,,
215,45674,neutral,,,,,,,,,,
216,45673,neutral,,,,,,,,,,
217,45672,negative,,,1,,,,,,1,
218,45671,neutral,,,,,,,,,,
219,45670,neutral,,,,,,,,,,
220,45669,neutral,,,,,,,,,,
221,45668,positive,1,1,1,,,,,1,,
222,45667,neutral,1,,,,,,,,,
223,45666,neutral,,,,,,,,,,
224,45665,neutral,,,,,,,,,,
225,45664,negative,,,,,,,,,,
226,45663,neutral,,,,,,,,,,
227,45662,negative,,,,,,,,,,
228,45661,neutral,,,,,,,,,,
229,45660,neutral,,,,,,,,,,
230,45659,neutral,,,,,,,,,,
231,45658,negative,,,,,,,,,,
232,45657,neutral,1,,,,,,,,,
233,45656,positive,,,,,,,,,,
234,45655,neutral,,,,,,,,,,
235,45654,neutral,,,,,,,,,,
236,45653,neutral,,,,,,,,,,
237,45652,neutral,,,,,,,,,,
238,45651,neutral,1,,,,,,,,,
239,45650,neutral,,,,,,,,,,
240,45649,negative,1,,1,,,,1,,1,
241,45648,neutral,,,,,,,,,,
242,45647,neutral,1,,,,,,,,,
243,45646,neutral,,,,,,,,,,
244,45645,neutral,1,,,,,,,1,,
245,45644,neutral,1,,,,,,,,,
246,45643,neutral,,,,,,,,,,
247,45642,neutral,,,,,,,,,,
248,45641,negative,1,,,,,,,,,
249,45640,neutral,,,,,,,,,,
250,45639,neutral,,,,,,,,,,
251,45638,neutral,,,,,,,,,,
252,45637,neutral,,,,,,,,,,
253,45636,neutral,,,,,,,,,,
254,45635,neutral,,,,,,,,,,
255,45634,neutral,,,,,,,,,,
256,45633,neutral,,,,,,,,,,
257,45632,neutral,,,,,,,,,,
258,45631,positive,1,1,,,,,,,,
259,45630,neutral,,,,,,,,,,
260,45629,neutral,,,,,,,,,,
261,45628,neutral,,,,,,,,,,
262,45627,neutral,,,,,,,,,,
263,45626,neutral,,,,,,,,,,
264,45625,neutral,,,,,,,,,,
265,45624,neutral,,,,,,,,,,
266,45623,neutral,1,,,,,,1,1,,1
267,45622,neutral,,,,,,,,,,
268,45621,negative,,,,,,,,,,
269,45620,neutral,,,,,,,,,,
270,45619,negative,1,,,,,,,,,
271,45618,negative,,,,,,,,,,
272,45617,positive,1,,,,,1,,1,1,
273,45616,neutral,,,,,,,,,,
274,45615,neutral,,,,,,,,,,
275,45614,neutral,,,,,,,,,,
276,45613,neutral,,,,,,,,,,
277,45612,positive,1,,,,,1,,1,1,
278,45611,neutral,,,,,,,,,,
279,45610,neutral,,,,,,,,,,
280,45609,neutral,,,,,,,,,,
281,45608,neutral,,,,,,,,,,
282,45607,neutral,,,,,,,,,,
283,45606,neutral,,,,,,,,,,
284,45605,neutral,,,,,,,,,,
285,45604,neutral,,,,,,,,,,
286,45603,neutral,,,,,,,,,,
287,45602,neutral,,,,,,,,,,
288,45601,neutral,,,,,,,,,,
289,45600,neutral,,,,,,,,,,
290,45599,positive,1,,,,,,,1,,
291,45598,neutral,,,,,,,,,,
292,45597,positive,1,,,,,,,,,
293,45596,neutral,,,,,,,,,,
294,45595,neutral,,,,,,,,,,
295,45594,neutral,,,,,,,,,,
296,45593,neutral,,,,,,,,,,
297,45592,neutral,,,,,,,,,,
298,45591,neutral,,,,,,,,,,
299,45590,neutral,,,,,,,,,,
300,45589,neutral,,,,,,,,,,
301,45588,neutral,,,,,,,,,,
302,45587,neutral,,,,,,,,,,
303,45586,neutral,,,,,,,,,,
304,45585,neutral,,,,,,,,,,
305,45584,neutral,,,,,,,,,,
306,45583,neutral,,,,,,,,,,
307,45582,neutral,,,,,,,,,,
308,45581,neutral,,,,,,,,,,
309,45580,neutral,,,,,,,,,,
310,45579,neutral,,,,,,,,,,
311,45578,neutral,,,,,,,,,,
312,45577,neutral,,,,,,,,,,
313,45576,neutral,,,,,,,,,,
314,45575,neutral,,,,,,,,,,
315,45574,positive,,,,,,,,,,
316,45573,positive,1,,,,,,,1,,
317,45572,neutral,1,,,,,,,,,
318,45571,neutral,,,,,,,,,,
319,45570,neutral,,,,,,,,,,
320,45569,neutral,,,,,,,,,1,
321,45568,neutral,,1,,,,,,,,
322,45567,neutral,,,,,,,,,,
323,45566,neutral,,,,,,,,,,
324,45565,neutral,,,,,,,,,,
325,45564,neutral,,,,,,,,,,
326,45563,neutral,,,,,,,1,,,
327,45562,positive,1,,,,,,,1,1,
328,45561,neutral,,,,,,,,,,
329,45560,neutral,1,,,,,,,,,
330,45559,neutral,,,,,,,,,,
331,45558,neutral,,,,,,,,,,
332,45557,neutral,,,,,,,,,,
333,45556,positive,,,,,,,,,,
334,45555,neutral,1,,,,,,,,,
335,45554,neutral,,,,,,,,,,
336,45553,neutral,,,,,,,,,,
337,45552,neutral,,,,,,,,,,
338,45551,neutral,,,,,,,,,,
339,45550,neutral,,,,,,,,,,
340,45549,neutral,,,,,,,,,,
341,45548,neutral,1,,,,,,,1,,
342,45547,neutral,,,,,,,,,,
343,45546,neutral,,,,,,,,,,
344,45545,positive,1,,,,,,,1,,
345,45138,neutral,,,,,,,,,,
346,45544,neutral,,,,,,,,,,
347,45543,neutral,,,,,,,,,,
348,45542,neutral,1,,,,,,,,,
349,45541,neutral,,,,,,,,,,
350,45540,negative,,,,,,,,,,
351,45539,neutral,,,,,,,,,,
352,45538,neutral,1,,,,,,,,,
353,45537,neutral,,,,,,,,,,
354,45536,neutral,,,,,,,,,,
355,45535,neutral,,,,,,,,,,
356,45534,neutral,,,,,,,,,,
357,45533,neutral,,,,,,,,,,
358,45532,negative,1,1,,,,,,,,
359,45531,neutral,,,,,,,,,,
360,45530,neutral,1,,,,,,,,,
361,45529,negative,1,,1,,,,,1,,
362,45528,neutral,,,,,,,,,,
363,45527,neutral,,,,,,,,,,
364,45526,negative,1,,,,,,,1,1,
365,45525,negative,1,,1,,,,,1,,
366,45524,neutral,,,,,,,,,,
367,45523,neutral,,,,,,,,,,
368,45522,neutral,,,,,,,,,,
369,45521,neutral,,,,,,,,,,
370,45520,neutral,,,,,,,,,,
371,45519,neutral,,,,,,,,,,
372,45518,neutral,,,,,,,,,,
373,45517,neutral,,,,,,,,,,
374,45516,neutral,,,,,,,,,,
375,45515,negative,,,,,,,,,,
376,45514,neutral,,,,,,,,,,
377,45513,neutral,,,,,,,,,,
378,45512,neutral,,,,,,,,,,
379,45511,neutral,,,,,,,,,,
380,45510,neutral,,,,,,,,,,
381,45509,neutral,,,,,,,,,,
382,45508,neutral,,,,,,,,,,
383,45507,neutral,,,,,,,,,,
384,45506,neutral,1,,,,,,,,,
385,45505,neutral,,,,,,,,,,
386,45504,neutral,,,,,,,,,,
387,45503,neutral,,,,,,,,,,
388,45502,neutral,,,,,,,,,,
389,45501,neutral,,,,,,,,,,
390,45500,neutral,,,,,,,,,,
391,45499,neutral,,,,,,,,,,
392,45498,negative,1,,,,,,,,,
393,45497,neutral,,,,,,,,,,
394,45496,neutral,,,,,,,,,,
395,45495,positive,1,,1,,,,,1,,
396,45494,neutral,,,,,,,,,,
397,45493,neutral,,,,,,,,,,
398,45492,neutral,,,,,,,,,,
399,45491,neutral,,,,,,,,,,
400,45490,neutral,1,,,,,,,,,
401,45489,neutral,,,,,,,,,,
402,45488,neutral,,,,,,,,,,
403,45487,negative,,,,,,,,,,
404,45486,neutral,,,,,,,,,,
405,45485,neutral,,,,,,,,,,
406,45484,neutral,1,,,,,,,,,
407,45463,neutral,,,,,,,,,,
408,45483,neutral,,,,,,,,,,
409,45482,negative,1,,,,,,,,,
410,45481,negative,,,1,,,,,,1,
411,45480,neutral,,,,,,,,,,
412,45479,positive,1,,,,,,,,,
413,45478,neutral,,,,,,,,,,
414,45477,neutral,,,,,,,,,,
415,45476,neutral,,,,,,,,,,
416,45475,neutral,,,,,,,,,,
417,45474,neutral,1,,,,,,,,,
418,45473,neutral,,,,,,,,,,
419,45472,neutral,,,,,,,,,,
420,45471,neutral,,,,,,,,,,
421,45470,negative,1,,,,,,,,,
422,45469,neutral,,,,,,,,,,
423,45468,neutral,,,,,,,,,,
424,45467,neutral,1,,,,,,,,,
425,45466,neutral,1,,,,,,,,,
426,45465,positive,1,,,,,,,1,,
427,45464,neutral,,,,,,,,,,
428,45462,neutral,,,,,,,,,,
429,45461,neutral,,,,,,,,,,
430,45460,neutral,,,,,,,,,,
431,45459,neutral,,,,,,,,,,
432,45458,neutral,,,,,,,,,,
433,45457,neutral,,,,,,,,,,
434,45456,neutral,,,,,,,,,,
435,45455,neutral,,,,,,,,,,
436,45454,neutral,,,,,,,,,,
437,45453,neutral,,,,,,,,,,
438,45452,neutral,,,,,,,,,,
439,45451,neutral,,,,,,,,,,
440,45450,neutral,,,1,,,,,,1,
441,45449,negative,1,,1,,,,,1,1,
442,45448,neutral,1,,,,,,,,,
443,45447,neutral,,,,,,,,,,
444,45446,neutral,,,,,,,,,,
445,45445,neutral,1,,,,,1,,1,,
446,45444,neutral,,,,,,,,,,
447,45443,neutral,1,,,,,,,,,
448,45442,neutral,,,,,,,,,,
449,45441,negative,,,,,,,,,,
450,45440,neutral,,,,,,,,,,
451,45439,neutral,,,,,,,,,,
452,45438,negative,1,,,,,,,,,
453,45437,neutral,1,,,,,,,,,
454,45436,neutral,,,,,,,,,,
455,45435,neutral,,,,,,,,,,
456,45434,neutral,,,,,,,,,,
457,45433,neutral,,,,,,,,,,
458,45432,neutral,,,,,,,,,,
459,45431,neutral,1,,,,,1,,1,,
460,45430,neutral,,,,,,,,,,
461,45429,neutral,,,,,,,,,,
462,45428,neutral,,,,,,,,,,
463,45427,neutral,,,,,,,,,,
464,45426,neutral,1,,,,,,,1,,
465,45425,neutral,,,,,,,,,,
466,45424,neutral,1,,,,,,,,,
467,45423,neutral,,,,,,,,,,
468,45422,neutral,,1,,,,,,,,
469,45421,neutral,,,,,,,,,,
470,45420,neutral,,,,,,,,,,
471,45419,neutral,,,,,,,,,,
472,45418,negative,,,,,,,,,,
473,45417,neutral,,,,,,,,,,
474,45416,neutral,,,,,,,,,,
475,45415,neutral,,,,,,,,,,
476,45414,neutral,,,,,,,,,,
477,45413,neutral,,,,,,,,,,
478,45412,neutral,,,,,,,,,,
479,45411,neutral,,,,,,,,,,
480,45410,neutral,,,,,,,,,,
481,45409,neutral,,,,,,,,,,
482,45408,neutral,,,,,,,,,,
483,45407,neutral,1,,,,,,,,,
484,45406,neutral,,,,,,,,,,
485,45405,neutral,,,,,,,,,,
486,45404,neutral,,,,,,,,,,
487,45402,neutral,,,,,,,1,,,
488,45401,neutral,,,,,,,,,,
489,45400,neutral,,,,,,,,,,
490,45399,neutral,,,,,,,,,,
491,45398,neutral,,,,,,,,,,
492,45397,neutral,,,,,,,,,,
493,45396,neutral,,,,,,,,,,
494,45395,neutral,,,,,,,,,,
495,45394,neutral,,,,,,,,,,
496,45393,neutral,,,,,,,,,,
497,45392,negative,,,,,,,,,,
498,45391,neutral,1,1,1,1,,,,1,1,
499,45390,neutral,,,,,,,,,,
500,45389,neutral,1,,,,,,,,,
501,45388,neutral,,,,,,,,,,
502,45387,negative,,,,,,,,,,
503,45386,neutral,,,,,,,,,,
504,45385,neutral,,,,,,,,,,
505,45384,neutral,,,,,,,,,,
506,45383,neutral,,,,,,,,,,
507,45381,neutral,1,,,,,,,,,
508,45380,neutral,,,,,,,,,,
509,45379,neutral,,,,,,,,,,
510,45378,neutral,,,,,,,,,,
511,45377,neutral,,,,,,,,,,
512,45376,neutral,,,,,,,,,,
513,45375,neutral,,,,,,,,,,
514,45374,neutral,,,,,,,,,,
515,45373,neutral,,,,,,,,,,
516,45372,neutral,,,,,,,,,,
517,45371,neutral,,,,,,,,,,
518,45370,neutral,,,,,,,,,,
519,45369,positive,1,,,,,,,1,1,
520,45368,negative,,,,,,,,,,
521,45367,neutral,,,,,,,,,,
522,45366,neutral,,,,,,,,,,
523,45365,positive,1,,,,,,,,,
524,45364,positive,1,,,,,,,,,
525,45363,neutral,1,,1,,,,,1,,
526,45362,neutral,1,,,,,,,,,
527,6582,neutral,,,,,,,,,,
528,45322,neutral,1,,,,,1,,,,
529,45361,neutral,1,,,,,,,,,
530,45360,neutral,,,,,,,,,,
531,45359,neutral,1,,,,,,,,,
532,45358,neutral,1,,,,,1,,,,
533,45357,neutral,,,,,,,,,,
534,45356,neutral,1,,,,,,,,,
535,45355,neutral,,,,,,,,,,
536,45354,neutral,,,,,,,,,,
537,45353,neutral,,,,,,1,,,,
538,45352,neutral,,,,,,,,,,
539,45351,neutral,,,,,,,,,,
540,45350,neutral,1,,,,,,,,,
541,45349,neutral,,,,,,,,,,
542,45348,neutral,,,,,,,,,,
543,45347,neutral,,,,,,,,,,
544,45346,neutral,,,,,,,,,,
545,45345,neutral,,,,,,,,,,
546,45344,neutral,1,,,,,,,,,
547,45343,neutral,,,,,,,,,,
548,45342,neutral,1,,,,,,,,,
549,45341,neutral,,,,,,,,,,
550,45340,neutral,,,,,,,,,,
551,45339,neutral,,,,,,,,,,
552,45338,neutral,,,,,,,,,,
553,45337,neutral,,,,,,,,,,
554,45336,negative,1,,,,,,,,,
555,45335,neutral,,,,,,,,,,
556,45334,neutral,,,,,,,,,,
557,45333,neutral,,,,,,,,,,
558,45332,neutral,,,,,,,,,,
559,45331,neutral,,,,,,,,,,
560,45330,negative,,,,,,,,,,
561,45329,neutral,,,,,,,,,,
562,45328,neutral,,,,,,,,,,
563,45327,neutral,1,,,,,,,,,
564,45326,negative,1,,1,,,,1,,,
565,45325,negative,1,,1,1,,,1,1,1,
566,45324,negative,,,,,,,,,,
567,45323,neutral,,,,,,,,,,
568,45321,neutral,,,,,,,,,,
569,45320,neutral,,,,,,,,,,
570,45319,neutral,,,,,,,,,,
571,45318,neutral,,,,,,,,,,
572,45317,neutral,,,,,,,,,,
573,45316,neutral,,,,,,,,,,
574,45315,neutral,,,,,,,,,,
575,45314,neutral,,,,,,,,,,
576,45313,neutral,,,,,,,,,,
577,45312,neutral,,,,,,,,,,
578,45311,negative,,,,,,,,,,
579,45310,negative,,,,,,,,,,
580,45309,negative,,,,,,,,,,
581,45308,neutral,,,,,,,,,,
582,45307,neutral,,,,,,,,,,
583,45306,neutral,,,,,,,,1,,
584,45305,neutral,,,,,,,,,,
585,45304,neutral,,,,,,,,,,
586,45303,neutral,,,,,,,,,,
587,45302,neutral,1,,,,,,,,,
588,45301,neutral,,,,,,,,,,
589,45300,neutral,,,,,,,,,,
590,45299,neutral,,,,,,,,,,
591,45298,neutral,,,,,,,,,,
592,45297,neutral,,,1,,,,,,1,
593,45296,neutral,,,,,,,,,,
594,45295,neutral,,,,,,,,,,
595,45294,neutral,,,,,,,,,,
596,45293,neutral,,,,,,,,,,
597,45292,neutral,,,,,,,,,,
598,45291,neutral,,,,,,,,,,
599,45290,positive,1,,,,,,,1,,
600,45289,neutral,,,,,,,,,,
601,45288,negative,1,,,,,,,,,
602,45287,neutral,,,,,,,,,,
603,45286,negative,,1,,,,,,1,1,
604,45285,neutral,,,,,,,,,,
605,45284,neutral,,,,,,,,,,
606,45283,neutral,,,,,,,,,,
607,45282,neutral,,,,,,,,,,
608,45281,neutral,,,,,,,,,,
609,45280,neutral,,,,,,,,,,
610,45279,neutral,,,,,,,,,,
611,45278,neutral,,,,,,,,,,
612,45277,neutral,1,,,,,,,,,
613,45276,neutral,,,,,,,,,,
614,45275,negative,1,,,,,,1,1,,
615,45274,neutral,,,,,,,,,,
616,45273,negative,1,,,,,,,,,
617,45272,neutral,,,,,,,,,,
618,45271,neutral,,,,,,,,,,
619,45270,negative,1,,,,,,,,,
620,45269,neutral,,,,,,,,,,
621,45268,neutral,,,,,,,,,,
622,45267,neutral,,,,,,,,,,
623,45266,negative,1,,1,1,,,1,1,,1
624,45265,neutral,,,,,,,,,,
625,45264,neutral,1,,,,,,,1,,
626,45263,neutral,,,1,,,1,,1,,
627,45262,neutral,1,,,,,,,,,
628,45261,neutral,,,,,,,,,,
629,45260,neutral,,,,,,,,,,
630,45259,positive,1,,,,,,1,,,
631,45258,neutral,,,,,,,,,,
632,45257,neutral,,,,,,,,,,
633,45256,neutral,,,,,,,,,,
634,45255,neutral,,,,,,,,,,
635,45254,neutral,1,,,,1,,,1,,
636,45253,neutral,,,,,,,,,,
637,45252,neutral,,,,,,,,,,
638,45251,neutral,,,,,,,,,,
639,45250,neutral,,,,,,,,,,
640,45249,neutral,,,,,,,,,,
641,45248,neutral,,,,,,,,,,
642,45247,neutral,1,,,,,,,,,
643,45246,neutral,,,,,,,,,,
644,45245,neutral,1,,,,,,,,,
645,45244,neutral,,,,,,,,,,
646,45243,neutral,1,,,,,,,,,
647,45242,neutral,1,,,,,,,,,
648,45221,neutral,1,,,,,,,,,
649,45076,neutral,,,,,,,,,,
650,45241,neutral,,,,,,,,,,
651,45240,neutral,,,,,,,,,,
652,45239,neutral,,,,,,,,,,
653,45238,neutral,,,,,,,,,,
654,45237,neutral,,,,,,,,,,
655,45236,neutral,,,,,,,,,,
656,45235,neutral,,,,,,,,,,
657,45234,neutral,,,,,,,,,,
658,45233,neutral,,,,,,,,,,
659,45232,neutral,,,,,,,,,,
660,45231,negative,1,,,,,,,,,
661,45230,neutral,,,,,,,,,,
662,45229,negative,1,,,,,,,,,
663,45228,neutral,,,,,,,,,,
664,45227,negative,,,,,,,,,,
665,45226,neutral,,,,,,,,,,
666,45225,neutral,,,,,,,,,,
667,45224,neutral,,,,,,,,,,
668,45223,neutral,1,,,,,,1,1,,
669,45222,neutral,,,,,,,,,,
670,45220,neutral,,,,,,,,,,
671,45219,neutral,,,,,,,,,,
672,45218,neutral,,,,,,,,,,
673,45217,neutral,,,,,,,,,,
674,45216,neutral,,,,,,,,,,
675,45215,neutral,1,,,,,,,,,
676,45214,neutral,1,,,,,,,,,
677,45213,positive,1,,,,,,,1,,
678,45212,neutral,1,,,,,,,,,
679,45211,neutral,,,,,,,,,,
680,45210,neutral,,,,,,,,,,
681,45209,neutral,,,,,,,,,,
682,45208,neutral,,,,,,,,,,
683,45207,negative,1,,,,,,,,,
684,45206,neutral,,,,,,,,,,
685,45205,neutral,,,,,,,,,,
686,45204,neutral,1,,,,,,,1,,
687,45203,neutral,1,,,,,,,,,
688,45202,negative,,,,,,,,,,
689,45201,negative,,,,,,,,,,
690,45199,neutral,,,,,,,,,,
691,45198,positive,1,,,,,,,,,
692,45197,neutral,,,,,,,,,,
693,45196,neutral,,,,,,,,,,
694,45195,neutral,,,,,,,,,,
695,45194,positive,1,,,,,,,,,
696,45193,neutral,,,,,,,,,,
697,45192,neutral,,,,,,,,,,
698,45191,neutral,,,,,,,,,,
699,45190,positive,1,1,1,1,1,1,1,1,1,1
700,45189,neutral,,,,,,,,,,
701,45188,positive,1,,,,,,,,,
702,45187,neutral,,,,,,,,,,
703,45186,neutral,,,,,,,,,,
704,45185,neutral,,,,,,,,,,
705,45184,neutral,,,,,,,,,,
706,45183,positive,1,1,,,,,,,,
707,45182,neutral,,,,,,,,,,
708,45181,negative,1,,,,,,,1,,
709,45180,neutral,,,,,,,,,,
710,45179,neutral,,,,,,,,,,
711,45178,neutral,,,,,,,,,,
712,45177,neutral,,,,,,,,,,
713,45176,neutral,,,,,,,,,,
714,45175,neutral,,,,,,,,,,
715,45174,neutral,,,,,,,,,,
716,45173,positive,,,,,,,,,,
717,45172,neutral,,,,,,,,,,
718,45171,neutral,,,,,,,,,,
719,45170,neutral,,,,,,,,,,
720,45169,neutral,,,,,,,,,,
